record_type,ledger_index,regime,interval_s,tx_count,send_spacing_s,policy,t95_propagation_s,num_sends,estimated_bandwidth_bps,reachability,network_load_index,queueing_load_scale_s,queueing_fanout_exponent
workload,100066.0,NORMAL,3.239352017063265,6.0,0.5398920028438775,,,,,,,,
workload,100067.0,NORMAL,2.9364436766561317,8.0,0.36705545958201646,,,,,,,,
workload,100068.0,NORMAL,2.665487192027072,10.0,0.26654871920270723,,,,,,,,
workload,100069.0,NORMAL,2.7479912461722997,11.0,0.2498173860156636,,,,,,,,
workload,100070.0,NORMAL,2.7024365493882976,7.0,0.38606236419832823,,,,,,,,
workload,100071.0,NORMAL,2.446410176496901,8.0,0.3058012720621126,,,,,,,,
workload,100072.0,NORMAL,2.318297021942808,9.0,0.25758855799364533,,,,,,,,
workload,100073.0,NORMAL,2.882395451697926,8.0,0.36029943146224075,,,,,,,,
workload,100074.0,NORMAL,3.0658686510411357,11.0,0.27871533191283054,,,,,,,,
workload,100075.0,STRESSED,3.071570449079521,15.0,0.20477136327196807,,,,,,,,
workload,100076.0,NORMAL,2.7985449319664535,10.0,0.27985449319664535,,,,,,,,
workload,100077.0,NORMAL,2.747959877940948,10.0,0.2747959877940948,,,,,,,,
workload,100078.0,STRESSED,4.427486449018758,14.0,0.31624903207276844,,,,,,,,
workload,100079.0,BURST,1.5798210792294316,32.0,0.04936940872591974,,,,,,,,
workload,100080.0,NORMAL,3.141506413836587,7.0,0.4487866305480838,,,,,,,,
workload,100081.0,NORMAL,2.1008148986427515,9.0,0.2334238776269724,,,,,,,,
workload,100082.0,NORMAL,2.550953647619491,7.0,0.3644219496599273,,,,,,,,
workload,100083.0,NORMAL,2.2013539283282206,5.0,0.44027078566564415,,,,,,,,
workload,100084.0,NORMAL,2.329163732929392,6.0,0.38819395548823205,,,,,,,,
workload,100085.0,NORMAL,3.8520599621353746,6.0,0.6420099936892291,,,,,,,,
workload,100086.0,NORMAL,2.83200988449414,17.0,0.1665888167349494,,,,,,,,
workload,100087.0,NORMAL,2.63943969657456,12.0,0.21995330804788002,,,,,,,,
workload,100088.0,NORMAL,2.598310098129175,9.0,0.2887011220143528,,,,,,,,
workload,100089.0,NORMAL,2.6416907577933038,8.0,0.33021134472416297,,,,,,,,
workload,100090.0,NORMAL,2.543041317223959,11.0,0.2311855742930872,,,,,,,,
workload,100091.0,NORMAL,2.7694576846597263,10.0,0.27694576846597263,,,,,,,,
workload,100092.0,NORMAL,2.718309357103259,7.0,0.3883299081576084,,,,,,,,
workload,100093.0,NORMAL,2.6867320618425437,19.0,0.14140695062329178,,,,,,,,
